,Y_2019,Y_2020,year_2021,2022,Y_2023,Y 2024,Y_2025
Brunei Darussalam,1131.0,150.0,11.0,560.0,545.0,378.0,342.0
Indonesia,66804.0,14564.0,8410.0,,127178.0,109297.0,102150.0
Lao PDR,363951.0,34352.0,282.0,92609.0,372285.0,242104.0,122841.0
Malaysia,203008.0,25734.0,2989.0,53123.0,87825.0,61226.0,66298.0
Myanmar,24414.0,nan,493.0,6802.0,14390.0,23170.0,23481.0
Philippines,105017.0,14760.0,1462.0,28929.0,62268.0,45070.0,48591.0
Singapore,,10731.0,960.0,27750.0,43879.0,28078.0,29121.0
Thailand,466493.0,210876.0,81844.0,853376.0,1820460.0,1340750.0,962462.0
Timor Leste,0.0,20.0,,207.0,383.0,178.0,196.0
Vietnam,908803.0,182199.0,22120.0,463995.0,1019812.0,868445.0,808471.0
China,2361849.0,329673.0,,106875.0,547798.0,538834.0,784965.0
Hong Kong (China),2191.0,273.0,3.0,31.0,98.0,97.0,60.0
Japan,207636.0,41257.0,2011.0,29733.0,86411.0,73756.0,72964.0
Korea (ROK),254874.0,55935.0,6074.0,64040.0,170171.0,132286.0,119498.0
Macau (China),,30.0,,17.0,1.0,4.0,0.0
Mongolia,1437.0,322.0,90.0,515.0,891.0,970.0,847.0
Taiwan (China),138402.0,22939.0,3845.0,26672.0,64511.0,55146.0,64027.0
Afghanistan,379.0,50.0,85.0,190.0,88.0,377.0,170.0
Bangladesh,-999.0,N/A,,6487.0,21053.0,10728.0,16581.0
Bhutan,265.0,43.0,2.0,108.0,170.0,114.0,199.0
India,75286.0,12919.0,846.0,34016.0,68836.0,,44439.0
Iran,1373.0,304.0,70.0,387.0,1054.0,938.0,890.0
Nepal,4011.0,680.0,101.0,1977.0,2940.0,4391.0,6052.0
Pakistan,4835.0,1125.0,100.0,2577.0,6570.0,11616.0,14237.0
Srilanka,,864.0,198.0,,3441.0,2904.0,3035.0
australia,123253.0,23687.0,1276.0,37673.0,87207.0,62747.0,65515.0
Fiji,543.0,78.0,3.0,132.0,218.0,184.0,240.0
Maldives,0.0,0.0,0.0,223.0,257.0,211.0,229.0
New Zealand,23304.0,4446.0,200.0,7205.0,16446.0,11371.0,11143.0
Other Asia & the Pacific,2996.0,494.0,,602.0,1108.0,,836.0
Denmark,11843.0,4366.0,126.0,3650.0,7673.0,6220.0,7083.0
Finland,6045.0,2132.0,87.0,1376.0,3187.0,2381.0,2453.0
Iceland,885.0,225.0,3.0,238.0,632.0,395.0,429.0
Ireland,12009.0,2614.0,82.0,3962.0,9338.0,7222.0,
Norway,8306.0,2812.0,68.0,2222.0,5590.0,4724.0,
Sweden,14080.0,4728.0,187.0,3277.0,7348.0,5444.0,5934.0
Untied Kingdom,163177.0,44784.0,1220.0,44123.0,96973.0,76240.0,90812.0
Austria,10707.0,3560.0,90.0,2770.0,6615.0,5619.0,5615.0
Belgium,19270.0,4278.0,226.0,5984.0,11750.0,8977.0,9630.0
France ,164117.0,43174.0,3642.0,56509.0,106625.0,85600.0,94574.0
GERMANY,94371.0,27280.0,942.0,24598.0,63034.0,,49130.0
Luxembourg,931.0,186.0,9.0,,,415.0,479.0
Monaco,84.0,27.0,0.0,13.0,14.0,23.0,39.0
Netherlands,28284.0,6556.0,302.0,9332.0,19842.0,15085.0,17240.0
Switzerland,19696.0,5684.0,358.0,7119.0,,10295.0,10456.0
Azerbaijan,-999.0,N/A,0.0,0.0,0.0,206.0,251.0
Bulgaria,2941.0,943.0,25.0,482.0,2326.0,1605.0,2008.0
Czech Republic,7073.0,N/A,72.0,,3929.0,,
Estonia,1450.0,532.0,11.0,376.0,794.0,600.0,900.0
Hungary,6173.0,2809.0,35.0,1220.0,,3235.0,3520.0
Kazakhstan,2150.0,639.0,74.0,631.0,1575.0,1512.0,
Kyrgyzstan,385.0,149.0,27.0,184.0,434.0,489.0,869.0
Latvia,1355.0,371.0,3.0,262.0,614.0,445.0,629.0
Lithuania,,946.0,9.0,565.0,1474.0,1002.0,
